# n insertion_us insertion_error merge_us merge_error
5 0.079 0.025 0.251 0.189
15 0.250 0.023 0.909 0.079
25 0.447 0.025 1.578 0.099
35 0.682 0.028 2.386 0.084
45 0.964 0.033 3.033 0.088
55 1.254 0.057 3.817 0.106
65 1.632 0.064 4.779 0.907
75 1.998 0.084 5.490 0.102
85 2.408 0.094 6.227 0.138
95 2.653 0.411 6.938 3.472
105 2.454 0.319 5.846 0.834
115 3.388 0.615 7.971 1.491
125 3.213 0.497 7.377 1.143
135 2.985 0.344 6.673 0.633
145 3.719 0.557 8.254 1.409
155 3.571 0.313 7.631 0.612
165 4.087 0.969 8.165 0.297
175 4.815 0.307 8.680 0.684
185 5.117 0.645 10.552 1.474
195 5.656 0.886 10.968 1.799
205 6.723 1.969 12.144 1.856
215 8.547 1.072 15.443 1.180
225 6.464 1.148 11.896 1.764
235 6.974 1.809 12.193 0.840
245 7.085 0.729 12.764 1.026
255 7.645 0.759 13.219 1.119
265 8.168 0.956 14.052 0.914
275 8.866 1.020 15.201 1.415
285 10.465 1.623 17.491 2.684
295 11.525 2.092 18.919 3.278
305 9.996 1.559 15.998 0.744
315 10.640 1.212 17.226 2.718
325 11.784 1.993 17.415 1.482
335 11.606 1.057 17.663 0.976
345 12.017 0.995 18.469 1.108
355 12.704 1.397 18.804 0.922
365 13.726 1.314 19.901 1.334
375 14.110 2.217 20.013 1.266
385 14.445 1.212 20.501 1.133
395 15.180 1.440 21.370 1.414
405 16.293 1.734 22.128 1.657
415 16.465 1.557 22.169 0.960
425 17.511 2.127 23.309 1.612
435 19.825 3.146 23.967 1.211
445 19.464 3.395 24.099 1.029
455 19.271 1.587 25.022 1.803
465 24.541 4.982 26.254 1.636
475 24.771 6.321 28.908 3.508
485 21.565 1.923 26.709 0.915
495 23.536 3.242 27.320 1.586
505 24.387 3.786 27.699 1.166
515 25.626 2.329 28.012 0.325
525 29.042 5.271 29.519 1.236
535 30.170 5.222 29.803 1.035
545 26.492 1.922 30.709 2.179
555 28.095 3.033 31.668 2.935
565 29.747 2.678 32.388 2.897
575 29.211 2.425 32.316 2.234
585 30.362 3.524 33.605 3.822
595 30.741 2.009 33.589 1.532
605 31.445 2.708 34.009 1.372
615 35.447 4.127 38.117 4.599
625 36.468 5.217 38.388 5.848
635 38.407 8.555 39.290 7.659
645 36.185 3.432 36.695 2.396
655 37.659 4.113 37.708 3.499
665 45.165 8.093 38.011 2.595
675 38.575 2.691 38.551 2.081
685 40.372 4.028 39.219 2.780
695 41.022 3.835 40.187 3.624
705 41.437 2.721 40.006 1.197
715 45.201 5.881 42.926 4.711
725 50.238 11.666 47.587 10.144
735 47.916 9.566 44.426 7.387
745 50.774 7.709 42.150 0.913
755 47.259 3.076 43.107 2.649
765 48.558 4.110 43.993 3.615
775 51.528 5.746 43.945 0.919
785 50.966 3.578 45.251 2.641
795 52.843 6.756 46.380 3.489
805 59.091 9.851 51.110 6.865
815 62.973 14.692 54.759 11.325
825 55.160 2.906 47.426 1.202
835 58.187 6.575 48.297 3.302
845 61.830 7.598 49.246 1.653
855 62.617 10.302 49.754 3.228
865 64.728 8.681 50.844 3.388
875 65.058 7.554 50.640 1.410
885 85.377 15.855 57.314 11.172
895 63.461 1.896 51.420 0.875
905 66.682 5.879 53.584 4.802
915 71.979 8.349 58.329 6.813
925 68.439 6.888 54.843 3.904
935 68.798 2.234 54.720 1.199
945 77.524 11.369 60.843 9.609
955 72.301 3.693 56.038 1.224
965 73.483 5.625 57.243 4.335
975 82.893 14.137 61.419 8.319
985 77.973 7.108 58.997 4.654
995 76.417 2.042 58.080 0.938
